source_index,target_index,source_entity,target_entity,type,count
C0442739,feedingtube,unchanged,feedingtube,modify,8
C0443157,C0332255,bony,fragments,located_at,11
C0205090,apices,right,apices,modify,11
obscured,C0017446,obscured,area,modify,8
C0521530,segment,consolidation,segment,located_at,9
midshaft,C0008913,midshaft,clavicle,located_at,8
C0205095,gutter,posterior,gutter,modify,8
C0442797,C0456389,decreasing,size,modify,8
C0238767,lowerlobe,bilateral,lowerlobe,modify,8
C0238767,bibasilar,bilateral,bibasilar,modify,8
C0140145,C0037949,apex,spine,located_at,8
obscuring,detail,obscuring,details,modify,8
C1705504,azygous,tip,azygous,located_at,8
C0205123,C1696103,frontal,image,modify,8
C0013990,chestwall,emphysema,chestwall,located_at,14
C1705504,C0230467,tip,arch,located_at,8
C1705504,C1631280,tip,quadrant,located_at,8
recent,C0043299,recent,x-ray,modify,8
C1705504,C0036277,tip,scapula,located_at,8
C0205095,C0185023,posterior,fixation,modify,8
minimally,C0547044,minimally,smaller,modify,8
minimally,prominent,minimally,prominent,modify,8
small,C0746922,small,nodes,modify,8
C0521163,C0037949,convex,spine,modify,8
C0205094,C0549207,anterior,vertebral,modify,8
C0225594,C0817096,carina,thoracic,located_at,8
C0013812,leads,electrode,leads,located_at,9
better,expanded,better,expanded,modify,8
unremarkable,borders,unremarkable,borders,modify,8
extensive,C0175722,extensive,clips,modify,8
C0006663,C0746922,calcifications,nodes,located_at,8
C0006663,C0205039,calcifications,bronchial,located_at,8
extent,C0013604,extent,edema,modify,8
extent,C0521530,extent,consolidation,modify,8
extent,C0013990,extent,emphysema,modify,8
similar,C0016658,similar,fracture,modify,8
C0442739,ett,unchanged,ett,modify,8
C0442739,chesttube,unchanged,chesttube,modify,8
silhouetteis,C0025066,silhouetteis,mediastinal,located_at,10
C0175722,C0030797,clips,pelvis,located_at,8
C0442739,C0746922,unchanged,nodes,modify,8
C0006663,C1269845,calcification,hemidiaphragm,located_at,8
C0205271,C0221198,irregular,lesion,modify,8
C0205271,lucencies,irregular,lucencies,modify,8
C0015252,C3470541,removal,pacer,located_at,8
C0015252,C0456642,removal,introducer,located_at,8
C1609982,C0032320,residual,pneumoperitoneum,modify,8
C0015302,thoracicspine,osteophytes,thoracicspine,located_at,8
throughoutboth,C0024109,throughoutboth,lungs,modify,8
indistinctness,vasculatureconsistent,indistinctness,vasculatureconsistent,modify,8
C0032326,C0085590,pneumothorax,catheter,located_at,11
C0521530,C1184743,consolidation,process,suggestive_of,8
C0032326,C0013990,pneumothorax,emphysema,suggestive_of,9
mildcardiomegaly,C0013604,mildcardiomegaly,edema,modify,8
C0521530,C0009938,consolidation,contusion,suggestive_of,9
tiny,C0020303,tiny,hydropneumothorax,modify,8
C1704258,structuresreveal,abnormalities,structuresreveal,located_at,8
C0243107,C0012634,development,disease,modify,8
C0442739,C0035561,unchanged,ribs,modify,8
C0442739,C0086296,unchanged,film,modify,8
C0442739,C0185792,unchanged,sternotomy,modify,8
C0442739,C0000726,unchanged,abdomen,modify,8
C0175722,areagain,clips,areagain,located_at,8
C0442739,C0035139,unchanged,replacement,modify,8
C0205284,C0011980,border,diaphragm,located_at,15
C1547225,edemais,mild,edemais,modify,8
third,C0817096,third,chest,modify,8
C0016538,silhouette,projection,silhouette,modify,12
bilaterally,C0178587,bilaterally,density,modify,10
C0205217,C0449432,increased,component,modify,8
C0006663,C0140145,calcification,apex,located_at,8
C0205090,C0332835,right,transplant,modify,8
C0032285,C0032225,pneumonia,pleural,located_at,8
somewhat,C0332271,somewhat,worsened,modify,8
C1547225,retrocardiacatelectasis,mild,retrocardiacatelectasis,modify,8
C1547225,stranding,mild,stranding,modify,8
repeat,C0817096,repeat,chest,located_at,8
C0205277,pleuraleffusion,loculated,pleuraleffusion,modify,8
C1609982,C0008767,residual,scarring,modify,8
C0016203,C0020449,flattening,hyperinflation,suggestive_of,8
C0522501,C0006663,marked,calcifications,modify,8
C0522501,C0035222,markings,ards,suggestive_of,8
C0522015,C0449851,upright,technique,modify,8
prominence,C0013687,prominence,effusion,modify,8
prominence,C0013990,prominence,emphysema,suggestive_of,8
prominence,C0018792,prominence,atrial,located_at,8
C0442179,C1883067,retrosternal,space,located_at,10
C0442033,C0443286,periosteal,reaction,located_at,14
C0175730,C0034196,tube,pylorus,located_at,8
C0175730,C0030705,tubes,patient,located_at,8
C0175730,C0549183,tube,midline,located_at,14
C0441994,thoracicspine,lower,thoracicspine,modify,8
satisfactory,C1705504,satisfactory,tip,modify,10
somewhat,hyperinflated,somewhat,hyperinflated,modify,8
C0522501,osteopenic,markedly,osteopenic,modify,8
C0543467,C0444764,surgical,coils,modify,8
C0205098,midlung,medial,midlung,modify,8
rightmid,C1710706,rightmid,zone,modify,8
C0029053,representingatelectasis,opacities,representingatelectasis,suggestive_of,8
majority,C0024109,majority,lung,modify,8
C0205090,C0040132,right,thyroid,modify,8
prominence,C0349707,prominence,aspiration,suggestive_of,8
C0220825,C0178499,evaluation,base,located_at,9
C0029408,C0695640,osteoarthritis,acromioclavicular,located_at,8
C0522501,periphery,markings,periphery,located_at,8
C0524724,flank,staples,flank,located_at,8
C0522501,C1704258,marked,abnormality,modify,8
C0522501,pulmonaryedema,markings,pulmonaryedema,suggestive_of,8
prominence,C0178587,prominence,density,modify,8
C0205090,C0043262,right,wrist,modify,8
postsurgical,C0520510,postsurgical,material,modify,8
C0243107,C0449774,development,pattern,modify,8
C0175722,upperabdomen,clips,upperabdomen,located_at,8
C0442739,aeration,unchanged,aeration,modify,8
C0205090,C0445456,right,brachial,modify,8
C0205090,C0449911,right,view,modify,8
C0205090,C0522521,right,transvenous,modify,8
C0205284,C1269845,border,hemidiaphragm,located_at,9
C0016976,C0325079,gallbladder,fossa,located_at,8
C0547044,C0600644,smaller,collection,modify,8
C0175730,terminus,tube,terminus,located_at,8
significant,C0456389,significant,size,modify,8
significant,C0547044,significantly,smaller,modify,9
C0441633,C0817096,scan,chest,located_at,8
C0277844,taoists,barefoot,taoists,located_at,8
C0205117,C0582103,next,examination,modify,8
C0205117,C0443315,adjacent,subcutaneous,modify,8
C0016658,C0040184,fracture,tibia,located_at,9
C0016658,C0086296,fracture,film,located_at,8
C1547225,C0151603,mild,anasarca,modify,8
C1547225,C0029408,mild,osteoarthritis,modify,8
C1547011,C0027530,aspect,neck,located_at,8
third,C0008913,third,clavicle,located_at,8
C0006663,C0011980,calcification,diaphragm,located_at,8
bilaterally,C0175722,bilaterally,clips,modify,8
C0542339,C0929176,inferior,hilum,modify,8
C0542339,C0034014,inferior,pubic,modify,8
C0542339,C0175730,inferior,tube,modify,14
C1547225,C0449579,mild,nodularity,modify,8
internaljugular,C0227952,internaljugular,sheath,modify,12
C1547225,C0242656,mild,progression,modify,8
redemonstration,C0227952,redemonstration,sheath,modify,8
C0205217,C0178499,increased,base,modify,8
blunting,C0521530,blunting,consolidation,suggestive_of,8
ununited,C0016658,ununited,fracture,modify,8
C0006267,C0178499,bronchiectasis,bases,located_at,8
C1522614,C0085590,gastrostomy,catheter,modify,9
interval,C0439617,interval,revision,modify,8
interval,C0332835,interval,transplant,modify,8
theright,C0442143,theright,paratracheal,located_at,8
catheteris,C0042449,catheteris,venous,located_at,14
cavitary,C0028259,cavitary,nodule,modify,8
catheteris,C0589488,catheteris,subclavian,located_at,9
C0029053,airbronchograms,opacities,airbronchograms,located_at,8
C0547044,C0449286,lesser,degree,modify,8
C0206427,C0020164,rod,humerus,located_at,8
lucency,retrocardiac,lucency,retrocardiac,located_at,9
C0547040,C0025062,minimal,pneumomediastinum,modify,8
C0017110,C0017446,gas,region,located_at,8
C0205117,C0178587,adjacent,density,modify,8
C0017446,C0017446,region,region,located_at,8
ett,C0225594,ett,carina,located_at,8
C0442739,C0006267,unchanged,bronchiectasis,modify,8
one,lead,one,lead,modify,8
old,C0947630,old,studies,modify,8
prominence,fields,prominence,fields,located_at,8
C0205413,basilarconsolidation,patchy,basilarconsolidation,modify,8
C0029053,C3263722,opacity,trauma,suggestive_of,8
C0175730et,C0006255,et tube,bronchus,located_at,8
essentially,C0205360,essentially,stable,modify,8
C0005978,C0005978,wires,wires,located_at,8
up,C0444706,up,measuring,modify,9
blunting,C0001511,blunting,adhesions,suggestive_of,8
exaggerated,silhouette,exaggerated,silhouette,modify,8
C0205100,reticulation,peripheral,reticulation,modify,8
C0205101,C0025080,external,device,modify,10
prominent,C0012359,prominent,distention,modify,8
C0577559,retrocardiac,mass,retrocardiac,located_at,8
C0029053,C0027530,opacity,neck,located_at,8
C0205400,C0497156,thickening,lymphadenopathy,suggestive_of,8
C0205400,pleuroparenchymal,thickening,pleuroparenchymal,located_at,10
lowerlobe,retrocardiac,lowerlobe,retrocardiac,located_at,10
C0549183,C1185738,midline,column,modify,8
prominence,overload,prominence,overload,suggestive_of,8
prominence,segment,prominence,segment,located_at,8
C0549178,C0332271,continued,worsening,modify,8
C0029053,C0010383,opacity,crowding,suggestive_of,8
C0577559,C0205111,mass,apical,located_at,14
C0243107,pulmonaryedema,development,pulmonaryedema,modify,8
C0205090,C0087111,right,treatment,modify,8
C0441889,C0140145,level,apex,located_at,8
opacityconsistent,C0521530,opacityconsistent,consolidation,suggestive_of,8
opacitylikely,C0004144,opacitylikely,atelectasis,suggestive_of,8
interval,C0580846,interval,pull,modify,8
C1522577,C0040405,follow-up,ct,modify,8
looped,C0179740,looped,picc,modify,12
postoperativechanges,C0025066,postoperativechanges,mediastinum,located_at,8
postoperativechanges,C0038293,postoperativechanges,sternum,located_at,8
C0262950,C0817096,bones,thorax,located_at,9
C0439806,C0029053,gross,opacities,modify,8
significant,C0332464,significant,widening,modify,8
C0439858,C0582103,conventional,examination,modify,8
C0301559,C0037004,screw,shoulder,located_at,8
significant,C0013990,significant,emphysema,modify,8
posteriorly,C0178499,posteriorly,base,located_at,8
C0178587,C0003483,density,aorta,located_at,8
usual,C0733755,usual,position,modify,8
central,C1547011,central,aspect,modify,8
central,C0817096,central,thorax,modify,8
central,perihilar,central,perihilar,modify,8
redemonstration,C0334129,redemonstration,fibrotic,modify,8
C0439801,C0043299,limited,x-ray,modify,8
C0178499,C0018787,base,heart,located_at,8
sidehole,C0817096,sidehole,thoracic,located_at,8
C0439794,C0520510,dense,material,modify,8
C0439794,C0700364,dense,appearance,modify,8
C0178587,C0221198,density,lesion,located_at,8
C0439775,hemidiaphragmatic,elevation,hemidiaphragmatic,located_at,8
C0205090,C0008767,right,scarring,modify,9
C0205322,C0028259,persistent,nodules,modify,8
C0600644,C0178499,collection,base,located_at,8
C0600644,C0024109,collection,lung,located_at,8
C0600644,C0140145,collection,apex,located_at,8
C0595836,C0040578,intrathoracic,trachea,modify,8
C0439801,C0449468,limited,volumes,modify,8
overall,silhouette,overall,silhouette,modify,8
C0439801,C0004048,limited,inspiration,modify,11
interval,addition,interval,addition,modify,8
C0205322,C0175730,persistent,tube,modify,8
C0205297,C2607943,nodular,findings,modify,8
C1517945,C0178499,loss,base,located_at,8
C1521721,C0678594,support,structures,modify,8
intervaldevelopment,C0013990,intervaldevelopment,emphysema,modify,8
intervaldecrease,C0013687,intervaldecrease,effusion,modify,8
C0017446,midlung,area,midlung,located_at,11
C1416746,C0204695,ko,feed,modify,8
intervalplacement,C0179740C0205132,intervalplacement,picc line,modify,8
intervalplacement,C0227952,intervalplacement,sheath,located_at,8
C0018787,C0031050,heart,pericardial,located_at,8
C1303192,C0441889,vertebroplasty,levels,located_at,9
C0018787,C0180307,cardiac,defibrillator,located_at,8
C0392756,C0543467,reduction,surgery,modify,8
C0392756,C0582103,decreased,exam,modify,8
C0577559,parenchymal,mass,parenchymal,located_at,9
C0028259,parenchymal,nodules,parenchymal,located_at,13
C0589496,C0325079,supraclavicular,fossa,located_at,8
C0577559,paramediastinal,mass,paramediastinal,located_at,8
C0205322,C1704258,persistent,abnormalities,modify,8
C0205322,C0700148,persistent,congestion,modify,8
C0178587,C0349707,density,aspiration,suggestive_of,8
C0178587,C0497156,density,adenopathy,suggestive_of,8
C0439064,C1306645,multiple,radiographs,modify,8
sided,C0042449,sided,venous,modify,8
C0439064,C0347997,multiple,objects,modify,8
posteriorly,C0029053,posteriorly,opacity,located_at,13
sideport,C0205144,sideport,junction,located_at,8
C0178499,airspace,base,airspace,located_at,8
C0005847,C0178499,vasculature,bases,located_at,9
cavitary,C0577559,cavitary,mass,modify,10
catheteris,jugular,catheteris,jugular,located_at,8
redemonstration,C0475311,redemonstration,port,modify,8
dual,C0810633,dual,pacemaker,modify,8
dual,leadpacemaker,dual,leadpacemaker,modify,8
C0439775,C0004144,elevation,atelectasis,suggestive_of,8
C0687676,C0553891,post,extubation,modify,8
C0027530,C0443315,neck,subcutaneous,modify,11
likely,C0302908,likely,fluid,modify,8
C0687676,C0006290,post,bronchoscopy,modify,8
C0687676,C0008320,post,cholecystectomy,modify,8
leftapical,C0032326,leftapical,pneumothorax,modify,14
C0205102,central,internal,central,modify,10
intervalplacement,C0599554,intervalplacement,endotracheal,modify,8
reverse,C0037004,reverse,shoulder,modify,8
prominent,C0205284,prominent,border,modify,8
C0205102,C0521378,internal,biliary,modify,8
leftpulmonary,C0003842,leftpulmonary,artery,modify,8
leftsided,C0817096,leftsided,chest,modify,8
C0687676,C0043240,post,repair,modify,8
C0694637,tubewhich,nasogastric,tubewhich,modify,8
C0205148,C0018787,surface,heart,located_at,8
redemonstration,C1303192,redemonstration,vertebroplasty,modify,8
C0004454,segment,axillary,segment,modify,8
venouscatheter,svc,venouscatheter,svc,located_at,8
dual,leadpacer,dual,leadpacer,modify,8
cephalization,pulmonaryvasculature,cephalization,pulmonaryvasculature,located_at,8
intervalrepositioning,C0085590,intervalrepositioning,catheter,located_at,8
pad,C0018787,pad,heart,located_at,11
C0392756,confluence,decreased,confluence,modify,8
C0332152,C0035139,prior,replacement,modify,8
C0392756,C0489786,decreased,height,modify,8
distalsuperior,vena,distalsuperior,vena,located_at,8
distinct,C4068833,distinct,vascularity,modify,8
clear,lungsotherwise,clear,lungsotherwise,modify,8
C0004144,theright,atelectasis,theright,located_at,8
very,C0439794,very,dense,modify,8
confluence,innominate,confluence,innominate,located_at,8
C0004144,lingular,atelectasis,lingular,located_at,14
compressiondeformities,C0037949,compressiondeformities,spine,located_at,8
compressiondeformities,C0817096,compressiondeformities,thoracic,located_at,11
diffuseinterstitial,prominence,diffuseinterstitial,prominence,modify,8
C0439064,C0005758,multiple,bullae,modify,8
possible,C0392747,possible,changes,modify,8
C0332152,tunneled,prior,tunneled,modify,8
C0205161,C0449584,abnormal,opacification,modify,8
relatively,C0205132,relatively,linear,modify,8
C0205194,reticulonodular,coarse,reticulonodular,modify,8
confluence,C0005847,confluence,vascular,modify,8
C0205197,obscured,completely,obscured,modify,8
directed,C0339897,directed,tips,modify,8
C0733755,C0005978,position,wires,located_at,8
C0733755,C0018787,position,heart,located_at,8
leads,C0598782,leads,appendage,located_at,8
C0700364,C3470541,appearance,pacer,modify,10
C0205360,ij,stable,ij,modify,8
leads,C0140145,leads,apex,located_at,8
C0179740C0205132,brachiocephalic,picc line,brachiocephalic,located_at,8
C0392747,C1306645,change,radiograph,located_at,8
C0700364,C0020164,appearance,humerus,located_at,8
C0700364,C0032225,appearance,pleural,located_at,8
leftcardiac,C0205284,leftcardiac,border,located_at,8
leftchest,C0677535,leftchest,wall,modify,8
C0205360,areas,stable,areas,modify,8
lead,C0237638,lead,generator,modify,8
C0700364,thetrachea,appearance,thetrachea,located_at,8
leads,C0017446,leads,region,located_at,8
C0347997,C0934569,object,hemithorax,located_at,8
paucity,C0017110,paucity,gas,modify,8
C0344329,C0549207,collapse,vertebral,located_at,10
performed,C1306645,performed,radiographs,modify,8
C0392747,osseousstructures,changes,osseousstructures,located_at,8
possible,underlying,possible,underlying,modify,8
possible,pleuraleffusion,possible,pleuraleffusion,modify,8
C0332152,C0085590,prior,catheter,modify,8
C1279919,C0349707,early,aspiration,modify,8
C0019409,C0013604,heterogeneous,edema,modify,8
C0019270,C0043240,hernia,repair,located_at,13
C1265611,C0006663,amount,calcification,modify,8
C0180499,C0018787,drains,heart,located_at,8
C0182537,C5686136,pump,intercostal,located_at,8
shift,C0032326,shift,pneumothorax,suggestive_of,8
sharp,side,sharp,side,modify,8
C1293132,C0301559,anchor,screws,located_at,15
C0018787,silhouetteappears,cardiac,silhouetteappears,located_at,9
C1282913,C0029053,circular,opacity,modify,8
C1282910,field,upper,field,modify,8
isotherwise,clear,isotherwise,clear,modify,8
svc,C0018792,svc,atrium,located_at,8
C1279919,C1306645,earlier,radiograph,modify,8
C0392756,lucency,decreased,lucency,modify,8
C0392756,insize,decrease,insize,modify,8
C0025080,C0025066,device,mediastinum,located_at,8
irregularity,C3263722,irregularity,trauma,suggestive_of,8
C1282910,midlung,upper,midlung,modify,8
C0018787,C0237638,cardiac,generator,located_at,10
C0205161,lucency,abnormal,lucency,modify,8
C0205191,finding,chronic,finding,modify,8
C0205191,C0521530,chronic,consolidation,modify,8
C0003850,C0817096,atherosclerosis,thoracic,located_at,8
diffuse,C0332448,diffuse,infiltrate,modify,8
consistent,C0010055,consistent,cabg,modify,8
C0004048,C1306645,inspiratory,radiographs,modify,8
consistent,C0020538,consistent,hypertension,suggestive_of,8
retained,C0810633,retained,pacemaker,modify,8
retained,C0972395,retained,aicd,modify,8
C0020303,C0140145,hydropneumothorax,apex,located_at,8
peripherally,C0449584,peripherally,opacification,modify,8
C0333482,C0029433,atherosclerotic,ossifications,modify,8
persist,C0032326,persistence,pneumothorax,modify,8
C0184511,C0024109,improvement,lung,located_at,8
redemonstration,bibasilaropacities,redemonstration,bibasilaropacities,modify,8
C0733755,arm,position,arm,located_at,8
C0020449,C0333159,hyperinflation,emphysematous,suggestive_of,8
jugularvein,approach,jugularvein,approach,located_at,8
C0019409,C0700364,heterogeneous,appearance,modify,8
C0019664,C0002940,history,aneurysm,modify,8
C1179864,C0032326,superolateral,pneumothorax,modify,11
C0392747,C1710706,changes,zone,located_at,9
C0179740C0205132,C0085590,picc line,catheter,located_at,8
side,C0040578,side,trachea,located_at,8
C0392756,C0005847,decreased,vasculature,modify,8
C0392747,C0449468,change,volumes,modify,9
laterally,C0796494,laterally,lobe,located_at,8
suggestion,C0020564,suggestion,enlargement,suggestive_of,8
lead,C0140145,lead,apex,located_at,8
C0876954,C0929176,contour,hilum,located_at,8
C0876954,C1704258,contour,abnormality,modify,10
large,rightpneumothorax,large,rightpneumothorax,modify,8
large,consolidations,large,consolidations,modify,8
C0020564,C0456389,enlargement,size,modify,8
C0817096,wedge,thoracic,wedge,located_at,8
C0205178,C0029053,acute,opacity,modify,10
lateral,C0037775,lateral,distribution,modify,8
lateral,C0043299,lateral,x-ray,modify,8
reticulation,C0796494,reticulation,lobes,located_at,8
C0022408,C0037004,arthropathy,shoulder,located_at,8
C0020564,C0929176,enlargement,hilum,located_at,8
C0020564,cardiacsilhouette,enlargement,cardiacsilhouette,located_at,8
C0205108,C0205284,distal,margin,modify,8
C0205108,C0040184,distal,tibia,modify,8
possible,C0025062,possible,pneumomediastinum,modify,8
C0332232,C0032326,approximately,pneumothorax,modify,8
C0332232,C1705504,approximately,tip,modify,8
C0182537,C1705504,pump,tip,located_at,14
C0182537,intraaortic,pump,intraaortic,located_at,8
last,C0947630,last,study,modify,8
lateral,C0000726,lateral,abdomen,modify,8
suggestive,C0700364,suggestive,appearance,modify,8
persistently,C0004144,persisting,atelectasis,modify,8
C0332768,C0018670,subluxation,head,located_at,8
C0332523,C0332469,retraction,fissure,located_at,8
C0332554,C0205150,shadows,hilar,located_at,8
C0332516,C0449774,symmetric,pattern,modify,8
C0332501,C0700364,globular,appearance,modify,8
C0332501,C0876954,globular,contour,modify,8
place,C0179740,place,picc,modify,13
C0001861,C0024109,air,lung,located_at,8
wellaerated,C0024109,wellaerated,lung,located_at,8
C0001861,C0140145,air,apex,located_at,8
cvc,C1705504,cvc,tip,located_at,11
cut,C0205143,cut,angle,modify,9
C0332306,C0582103,quality,examination,modify,8
C0190112,C1260969,valvuloplasty,ring,modify,12
C0332448,retrocardiac,infiltrate,retrocardiac,located_at,8
corresponding,C0029053,corresponding,opacity,modify,8
differences,C0016538,differences,projection,modify,8
defined,C0522501,defined,markings,modify,8
described,C0205132,described,lines,modify,8
C0205171,ap,single,ap,modify,8
point,C0005847,point,vasculature,located_at,8
definite,shift,definite,shift,modify,8
definite,C0028259,definite,nodules,modify,8
cuffing,C0205039,cuffing,bronchial,located_at,8
current,C0086296,current,film,modify,8
relative,C0205217,relative,increase,modify,8
redemonstration,masses,redemonstration,masses,modify,8
C0205182,C1184743,atypical,process,modify,8
well,C1706765,well,aligned,modify,8
dextroconvex,C0036439,dextroconvex,scoliosis,modify,8
cuffing,C0012634,cuffing,disease,suggestive_of,8
demonstratesinterval,C0556030,demonstratesinterval,repositioning,modify,8
reexpanded,C0024109,reexpanded,lung,modify,8
C0205171,leads,single,leads,modify,8
C0000768,C0205108,deformity,distal,located_at,8
C0332448,airspace,infiltrate,airspace,located_at,8
C0205178,finding,acute,finding,modify,8
redemonstration,pulmonaryedema,redemonstration,pulmonaryedema,modify,8
C0205171,C1696103,single,image,modify,8
pointed,C1705504,pointed,tip,modify,7
second,C5686136,second,intercostal,modify,7
C0205054,C1880791,hepatic,flexure,located_at,7
pocket,C0001861,pocket,air,located_at,12
C0332448,C0017446,infiltrate,region,located_at,7
pleuraleffusion,C0024109,pleuraleffusion,lung,located_at,7
C0185023,C0521329,fixation,spinal,located_at,9
C0185792,C1292825,sternotomy,cerclage,located_at,7
placed,C0180499,placed,drains,modify,7
C0332466,C0035561,fusion,ribs,located_at,7
C0332466,C0301559,fusion,screws,located_at,10
portions,C0037949,portions,spine,located_at,7
C0332448,C0004144,infiltrate,atelectasis,suggestive_of,8
C0332448,C0009450,infiltrate,infection,suggestive_of,9
possible,C0006663,possible,calcification,modify,7
C0332271,consolidations,worse,consolidations,modify,7
C0332271,C0700148,worsened,congestion,modify,7
destructive,C0392747,destructive,changes,modify,7
curvilinear,C0347997,curvilinear,object,modify,7
curvilinear,lucencies,curvilinear,lucencies,modify,7
C0001861,C0009368,air,colon,located_at,7
wiresutures,C0038293,wiresutures,sternal,located_at,12
described,C0178587,described,density,modify,7
decreasein,C0456389,decreasein,size,modify,7
C0339897,C0017446,tips,region,located_at,7
peripherally,C0175895,peripherally,calcified,modify,7
scoliotic,C0037949,scoliotic,spine,modify,7
C0332271,C0010957,worsening,damage,modify,7
C0332255,C0817096,fragment,chest,located_at,7
possible,C0205400,possible,thickening,modify,7
C0332514,C0006141,asymmetry,breast,located_at,7
C0332482,C0333159,distortion,emphysematous,suggestive_of,7
C0205081,C0175895,moderate,calcified,modify,7
C0205081,C1609982,moderate,residual,modify,7
C0332271,C0582103,worsened,exam,modify,7
C0333348,C0392747,inflammatory,change,located_at,7
C0333307,C0008913,erosion,clavicle,located_at,7
peritracheal,C0017446,peritracheal,region,located_at,7
C0184165,anepidural,tubing,anepidural,suggestive_of,7
several,C0524724,several,staples,modify,7
C0004048,C0086296,inspiratory,films,modify,10
consolidations,C0444598,consolidations,middle,located_at,7
consolidations,C0349707,consolidations,aspiration,suggestive_of,7
C0004144,C0005847,atelectasis,vascular,located_at,7
C0004144,C0008767,atelectasis,scarring,suggestive_of,12
redemonstration,clamshell,redemonstration,clamshell,modify,7
C0205191,C0439775,chronic,elevation,modify,7
C0205081,blunting,moderate,blunting,modify,7
C0205191,reticulation,chronic,reticulation,modify,7
very,C0700124,very,distended,modify,7
C0004144,C0441994,atelectasis,lower,located_at,9
consistent,C0012634,consistent,disease,modify,7
consistent,C0025066,consistent,mediastinum,modify,7
consistent,C0029053,consistent,opacity,modify,7
diffuse,bronchovascular,diffuse,bronchovascular,modify,7
C0733755,C0520453,position,cannula,modify,8
C0733755,C0449851,positioning,technique,modify,8
C0024109,C0947630,lung,studies,located_at,7
C0733755,ng,positioning,ng,located_at,7
laterally,C0004144,laterally,atelectasis,modify,7
laterally,C0205277,laterally,loculated,modify,7
C0205107,venacava,proximal,venacava,modify,7
C0205360,C0006267,stable,bronchiectasis,modify,7
C0024109,segment,pulmonary,segment,located_at,11
lead,C0733755,lead,position,located_at,8
lead,C1521735,lead,pectoral,located_at,7
suggesting,C0013687,suggesting,effusions,suggestive_of,7
C0972401,C0817096,board,chest,located_at,7
C1047251,C0175722,lima,clips,located_at,7
C1179866,C0032326,inferolateral,pneumothorax,modify,11
C0019664,C0012634,history,disease,modify,7
C1184146,retrocardiac,basilar,retrocardiac,located_at,13
just,C0542339,just,inferior,modify,7
C0750532,tortuousaorta,mildly,tortuousaorta,modify,7
C0750540,C2607943,nonspecific,findings,modify,7
C0796494,C0006255,lobe,bronchus,located_at,9
lateral,C0025066,lateral,mediastinum,modify,7
retained,contrast,retained,contrast,modify,7
retained,leads,retained,leads,modify,7
large,C0015302,large,osteophytes,modify,7
C0205329,C0004144,progressive,atelectasis,modify,7
pronounced,C0013604,pronounced,edema,modify,7
terminates,C0017446,terminates,region,located_at,7
C1282910,lobeis,upper,lobeis,modify,7
C1282910,caval,superior,caval,modify,7
C1282910,C0549183,upper,midline,modify,10
C0018792,C0018827,atrial,ventricular,located_at,7
isinterval,C0243107,isinterval,development,modify,7
C1282910,C0456389,upper,size,modify,7
isredemonstration,C0029053,isredemonstration,opacities,modify,7
isotherwise,C0024109,isotherwise,lung,located_at,7
C0205111,C0028259,apical,nodule,located_at,13
C0205111,C0005758,apical,bulla,located_at,14
C1260969,C0332554,ring,shadows,located_at,7
jugular,centralvenous,jugular,centralvenous,located_at,7
C1279919,C0020498,early,dish,modify,7
C1265611,pleuralfluid,amount,pleuralfluid,modify,7
C1282910,C0205098,superior,medial,modify,11
C1282910,C0020164,superior,humeral,modify,7
C0750489,C0013687,apparent,effusion,modify,7
C0750489,C0004144,apparent,atelectasis,modify,7
C0750489,C0038257,apparent,stent,modify,7
C0205360,C3494893,stable,dextroscoliosis,modify,7
C0019080,C0817096,hematoma,chest,located_at,7
C1265611,C0032319,amount,pneumopericardium,modify,7
C1265611,C0032326,amount,pneumothorax,modify,7
C1265611,C0349707,amount,aspiration,modify,7
C0700364,C0013990,appearance,emphysema,modify,7
C0700364,C0009450,appearance,infection,suggestive_of,7
substantial,C0392756,substantial,decrease,modify,7
leftanterior,C0817096,leftanterior,chest,modify,7
C0700364,C0205400,appearance,thickening,modify,9
C0700364,C0035561,appearance,ribs,located_at,7
C0700364,C0038257,appearance,stent,located_at,7
C0733755,C0018792,position,atrium,located_at,7
C0205360,aeration,stable,aeration,modify,7
prominent,cardiomediastinalsilhouette,prominent,cardiomediastinalsilhouette,modify,7
lead,C0677535,lead,wall,located_at,7
leftgreater,C0013687,leftgreater,effusions,modify,9
C0700364,lvad,appearance,lvad,modify,7
C0700364,mediport,appearance,mediport,modify,7
lead,lead,lead,lead,located_at,7
lead,rightatrium,lead,rightatrium,located_at,7
C0025066,C0456205,mediastinal,contents,located_at,9
C0733755,C0204695,position,feeding,located_at,7
subtly,C0205217,subtly,increased,modify,7
irregularity,C0876954,irregularity,contour,located_at,9
C1282910,paramediastinal,superior,paramediastinal,modify,7
C0018787,C1301886,cardiac,diameter,located_at,11
irregularities,endplate,irregularities,endplate,located_at,7
irregularity,C0016658,irregularity,fracture,suggestive_of,8
C0205322,aeration,persistent,aeration,modify,7
C0728938,C0332523,partial,retraction,modify,7
C0700364,leftlung,appearance,leftlung,located_at,7
likely,C0449286,likely,degree,modify,7
C0595836,C0678594,intrathoracic,structures,located_at,7
C0596790,C0205400,interstitial,thickening,located_at,10
subcutaneousemphysema,C0677535,subcutaneousemphysema,wall,located_at,7
likely,C0018188,likely,granuloma,modify,7
C0677535,jugular,wall,jugular,located_at,7
likely,C0392747,likely,change,modify,7
resolving,C0019080,resolving,hemorrhage,modify,7
